name,code,isActive,0
Trilogiq,ALTRI.PA,0
Troc Ile,MLTRO.PA,0
Tronics,ALTRO.PA,0
Txcom,ALTXC.PA,0
U10 Corp,ALU10.PA,0
Ubisoft Entertain,UBI.PA,0
Umalis Group,MLUMG.PA,0
Unibail-Rodamco-We,URW.PA,0
Unibel,UNBL.PA,0
Union Tech.Infor.,FPG.PA,0
Uniti,ALUNT.PA,0
Upergy,ALUPG.PA,0
Uv Germi,ALUVI.PA,0
Valbiotis,ALVAL.PA,0
Valeo,FR.PA,0
Valerio Tx,ALVIO.PA,0
Vallourec,VK.PA,0
Valneva,VLA.PA,0
Vandor Real Estate,MLVRE.PA,0
Vantiva,VANTI.PA,0
Vente Unique.Com,ALVU.PA,0
Veolia Environ.,VIE.PA,0
Veom Group,ALVG.PA,0
Verallia,VRLA.PA,0
Vergnet,ALVER.PA,0
Verimatrix,VMX.PA,0
Verney Carron,MLVER.PA,0
Versity,MLVSY.PA,0
Vetoquinol,VETO.PA,0
Vialife,ALVIA.PA,0
Vicat,VCT.PA,0
Viel Et Compagnie,VIL.PA,0
Vinci,DG.PA,0
Vinpai,ALVIN.PA,0
Virbac,VIRP.PA,0
Virtualware,MLVIR.PA,0
Vitura,VTR.PA,0
Vivendi Se,VIV.PA,0
Vogo,ALVGO.PA,0
Voltalia,VLTSA.PA,0
Voyageurs Du Monde,ALVDM.PA,0
Vranken-Pommery,VRAP.PA,0
Vref Seville,MLVRF.PA,0
Waga Energy,WAGA.PA,0
Wallix,ALLIX.PA,0
Wavestone,WAVE.PA,0
We.Connect,ALWEC.PA,0
Weaccess Group,MLWEA.PA,0
Wendel,MF.PA,0
Weya,MLWEY.PA,0
Winfarm,ALWF.PA,0
Witbe,ALWIT.PA,0
Worldline,WLN.PA,0
X-Fab,XFAB.PA,0
Xilam Animation,XIL.PA,0
Zccm,MLZAM.PA,0
